227, 360, 38, 0.630593119732, 5.97263443818
267, 438, 80, 0.61, 3.342
436, 911, 157, 0.48, 2.783
455, 960, 208, 0.475, 2.191
458, 970, 208, 0.473, 2.205
422, 1531, 189, 0.276, 2.238
284, 1279, 103, 0.223, 2.766
281, 1266, 96, 0.223, 2.935
644, 1680, 173, 0.384, 3.726
406, 1271, 111, 0.32, 3.663
552, 1474, 174, 0.375, 3.174
242, 693, 64, 0.35, 3.786
100, 263, 12, 0.384, 8.407
133, 387, 46, 0.345, 2.902
94, 296, 34, 0.319, 2.776
130, 431, 44, 0.302, 2.962
91, 277, 29, 0.332, 3.171
106, 311, 34, 0.343, 3.133
737, 1467, 171, 0.503, 4.311
611, 1452, 182, 0.421, 3.36
697, 1464, 170, 0.476, 4.101
729, 1947, 184, 0.375, 3.965
470, 1492, 177, 0.316, 2.66
205, 1547, 199, 0.133, 1.032
500, 1801, 164, 0.278, 3.052
185, 844, 68, 0.22, 2.731
529, 1760, 159, 0.301, 3.332
177, 367, 34, 0.482, 5.206
177, 367, 34, 0.483, 5.212
314, 771, 59, 0.408, 5.33
268, 580, 64, 0.463, 4.2
269, 580, 64, 0.464, 4.204
274, 580, 64, 0.473, 4.282
371, 1144, 99, 0.325, 3.749
41, 119, 12, 0.349, 3.456
767, 2130, 201, 0.36, 3.819
25, 127, 11, 0.205, 2.361
25, 126, 11, 0.205, 2.344
280, 862, 93, 0.326, 3.019
4750, 14235, 1743, 0.334, 2.726
2000, 6280, 787, 0.319, 2.542
242, 887, 111, 0.274, 2.186
250, 857, 101, 0.292, 2.477
52, 106, 13, 0.497, 4.05
93, 248, 24, 0.377, 3.891
45, 66, 6, 0.692, 7.601
3240, 9909, 1259, 0.327, 2.574
517, 1366, 162, 0.379, 3.194
241, 554, 65, 0.437, 3.721
231, 521, 66, 0.443, 3.5
44, 138, 19, 0.324, 2.349
236, 673, 86, 0.351, 2.747
239, 673, 86, 0.356, 2.788
91, 236, 29, 0.388, 3.155
51, 138, 19, 0.37, 2.685
3887, 11768, 1511, 0.33, 2.573
286, 873, 92, 0.328, 3.109
67, 150, 24, 0.447, 2.794
3677, 10933, 1362, 0.336, 2.7
3553, 10752, 1352, 0.331, 2.628
284, 878, 95, 0.324, 2.991
368, 1159, 158, 0.318, 2.334
179, 463, 61, 0.388, 2.946
3306, 9957, 1275, 0.332, 2.594
902, 2966, 389, 0.304, 2.319
357, 1122, 153, 0.319, 2.338
362, 1150, 161, 0.315, 2.248
125, 288, 19, 0.437, 6.614
100, 218, 15, 0.462, 6.713
158, 414, 47, 0.382, 3.369
2938, 8911, 1112, 0.33, 2.643
218, 429, 148, 0.509, 1.474
276, 776, 59, 0.357, 4.692
277, 776, 59, 0.358, 4.71
81, 379, 59, 0.214, 1.373
110, 401, 29, 0.275, 3.803
866, 2790, 492, 0.311, 1.762
856, 2797, 495, 0.306, 1.729
603, 1751, 196, 0.345, 3.078
590, 1916, 197, 0.308, 2.997
1859, 6660, 728, 0.279, 2.554
487, 1820, 156, 0.268, 3.126
85, 215, 25, 0.399, 3.428
88, 230, 24, 0.386, 3.7
4536, 15041, 1729, 0.302, 2.623
214, 861, 45, 0.249, 4.768
209, 861, 45, 0.243, 4.65
4303, 14230, 1643, 0.302, 2.619
353, 1158, 164, 0.306, 2.158
130, 384, 37, 0.341, 3.533
227, 429, 148, 0.531, 1.538
4393, 14558, 1696, 0.302, 2.591
987, 3284, 536, 0.301, 1.842
958, 3284, 536, 0.292, 1.788
965, 3226, 517, 0.299, 1.867
12, 0, 0, 1259.524, 1259.525
344, 1118, 119, 0.308, 2.893
210, 861, 45, 0.245, 4.68
990, 3235, 524, 0.306, 1.89
4055, 13852, 1601, 0.293, 2.533
201, 588, 63, 0.342, 3.194
41, 44, 2, 0.95, 20.795
41, 44, 2, 0.95, 20.796
102, 328, 29, 0.311, 3.519
613, 1994, 204, 0.308, 3.009
462, 1766, 154, 0.262, 3.002
970, 3216, 505, 0.302, 1.921
3830, 13217, 1546, 0.29, 2.478
3704, 12979, 1553, 0.285, 2.385
324, 686, 125, 0.473, 2.597
283, 960, 94, 0.295, 3.01
232, 686, 125, 0.34, 1.863
3763, 11961, 1362, 0.315, 2.763
3493, 12118, 1375, 0.288, 2.541
3475, 11853, 1359, 0.293, 2.557
160, 510, 34, 0.315, 4.719
63, 197, 13, 0.325, 4.915
563, 2157, 203, 0.261, 2.778
3423, 12349, 1327, 0.277, 2.58
